Exhibitor,Location,Area,Booth Number,Country,Is Online,Exhibitor Figure,Exhibitor ID
レベルファイブ,イベントホール,ファミリーゲームパーク,03-N10,,No,https://service.tgs.cesa.or.jp/files/96/tgs2025/images/exhibition/14811.jpg,13804
バンダイナムコエンターテインメント,イベントホール,ファミリーゲームパーク,06-N06,,No,https://service.tgs.cesa.or.jp/files/96/tgs2025/images/exhibition/14626.jpg,13791
ドリームオンライン,イベントホール,ファミリーゲームパーク,A-12,,No,https://service.tgs.cesa.or.jp/files/96/tgs2025/images/exhibition/14516.jpg,14516
ソニー・インタラクティブエンタテインメント,イベントホール,ファミリーゲームパーク,04-S01,,No,https://service.tgs.cesa.or.jp/files/96/tgs2025/images/exhibition/14818.jpg,13801
セガ／アトラス,イベントホール,ファミリーゲームパーク,04-N06,,No,https://service.tgs.cesa.or.jp/files/96/tgs2025/images/exhibition/04521.jpg,13803
スクウェア・エニックス,イベントホール,ファミリーゲームパーク,03-S02,,No,https://service.tgs.cesa.or.jp/files/96/tgs2025/images/exhibition/14517.jpg,13790
コナミデジタルエンタテインメント,イベントホール,ファミリーゲームパーク,05-S01,,No,https://service.tgs.cesa.or.jp/files/96/tgs2025/images/exhibition/14519.jpg,13797
カプコン,イベントホール,ファミリーゲームパーク,07-S02,,No,https://service.tgs.cesa.or.jp/files/96/tgs2025/images/exhibition/14518.jpg,13792
てれびげーむマガジン,イベントホール,ファミリーゲームパーク,A-13,,No,https://service.tgs.cesa.or.jp/files/96/tgs2025/images/exhibition/14520.jpg,14520
room6,イベントホール,ファミリーゲームパーク,10-C11,,No,https://service.tgs.cesa.or.jp/files/96/tgs2025/images/exhibition/14522.jpg,14502
TopplePOP,イベントホール,ファミリーゲームパーク,A-10,オーストラリア,No,https://service.tgs.cesa.or.jp/files/96/tgs2025/images/exhibition/15326.jpg,15326
Samsung SSD,イベントホール,ファミリーゲームパーク,07-C01,,No,https://service.tgs.cesa.or.jp/files/96/tgs2025/images/exhibition/14625.jpg,13795
GRYPHLINE,イベントホール,ファミリーゲームパーク,03-N05,中国,No,https://service.tgs.cesa.or.jp/files/96/tgs2025/images/exhibition/14705.jpg,14015
第五人格,ホール1,一般展示,01-C10,,No,https://service.tgs.cesa.or.jp/files/96/tgs2025/images/exhibition/14483.jpg,14483
東映アニメーション,ホール1,一般展示,01-C05,,No,https://service.tgs.cesa.or.jp/files/96/tgs2025/images/exhibition/14511.jpg,14511
ミズノ,ホール1,一般展示,01-C09,,No,https://service.tgs.cesa.or.jp/files/96/tgs2025/images/exhibition/14445.jpg,14445
アライアンス・アーツ,ホール1,一般展示,01-C07,,No,https://service.tgs.cesa.or.jp/files/96/tgs2025/images/exhibition/14668.jpg,14668
Youniverse Games,ホール1,一般展示,01-C17,マレーシア,No,https://service.tgs.cesa.or.jp/files/96/tgs2025/images/exhibition/15123.jpg,15123
Watt Studio,ホール1,一般展示,01-C16,ロシア,No,https://service.tgs.cesa.or.jp/files/96/tgs2025/images/exhibition/15236.jpg,15236
netmarble,ホール2,一般展示,02-N09,韓国,No,https://service.tgs.cesa.or.jp/files/96/tgs2025/images/exhibition/13805.jpg,13805
